100;305.303;297.068;100;100;123.017;274.504;711.455;100;100;100;100;100;100;100;123.916;100;181.106;353.198;961.803;1198.18;171.96;139.601;256.336;1889.71;110.175;440.956;474.228;325.652;415.321;231.525;234.168;682.016;113.127;302.869;1251.19;907.572;141.503;330.485;
1680.93;230.275;109.947;100;100;100;100;100;100;100;100;100;100;210.949;100;100;767.545;168.015;100;100;633.754;1817.54;590.213;201.098;830.7;538.197;158.86;765.703;109.461;505.096;1498.29;198.04;115.343;106.471;240.033;707.361;265.655;167.796;319.694;
451.734;379.684;276.944;100;100;100;100;100;100;100;100;100;100;100;100;242.925;100;675.466;100;100;100;100;100;166.769;759.519;754.216;200.666;217.386;763.608;180.276;1513;1292.84;216.387;246.408;152.283;497.31;657.022;876.454;351.17;
100;646.988;100;100;100;100;100;100;100;100;100;100;100;100;224.212;387.471;100;100;1777.61;100;100;100;100;100;100;100;100;798.571;114.78;144.867;134.117;263.681;234.7;342.129;188.861;178.552;176.234;121.001;120.553;
249.96;102.189;100;100;100;181.818;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;1672.78;100;434.449;1228.69;248.77;1168.11;108.704;210.146;139.952;342.992;271.567;268.847;188.215;114.517;207.028;106.08;
100;100;100;895.307;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;180.426;920.614;1879.91;410.929;100;108.855;412.446;150.111;696.556;660.18;568.265;271.951;251.331;419.388;578.881;
109.986;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;1177.26;100;452.482;1375.5;1159.02;103.593;171.666;261.045;608.767;1064.08;248.75;148.103;124.774;
985.533;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;163.513;100;260.417;209.495;227.855;214.583;1708.41;1595.35;177.237;409.702;131.385;227.089;778.757;154.102;
359.883;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;929.045;573.395;359.084;100;867.652;170.835;114.565;204.213;1371.67;124.719;
100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;1706.17;100;1039.07;341.046;808.078;525.685;375.566;106.207;
100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;116.96;100;171.546;1620.49;1486.02;100;100;229.87;885.462;587.406;559.136;946.549;689.82;
100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;298.225;100;100;324.966;104.511;206.01;308.5;551.203;469.011;
